name,type,attributeConstraint,isRequired,isSearchable,label.de,label.en,enumKey,enumLabel,enumLabel.en,enumLabel.de,textInputHint
gender,lenum,SameForAll,false,false,Geschlecht,gender,m,,male,männlich,
,,,,,,,w,,female,weiblich,
,,,,,,,u,,unisex,unisex,
brand,enum,SameForAll,false,false,Marke,brand,artemBluseUndHemd,ARTEM Bluse und Hemd,,,
,,,,,,,hugoBoss,Hugo Boss,,,
designer,text,SameForAll,false,false,Designer,designer,,,,,SingleLine
primaryColor,lenum,CombinationUnique,false,false,Farbe,color,white,,white,Weiß,
,,,,,,,black,,black,Schwarz,
sleeveLength,number,CombinationUnique,false,false,Sleeve Length (in cm),Ärmellänge,,,,,
heelType,lenum,CombinationUnique,false,false,Heel,Absatz,high,,High,Hoch,
,,,,,,,medium,,Medium,Mittel,
,,,,,,,low,,Low,Klein,
sizeTops,enum,Unique,false,false,Größe,Size,s,S,,,
,,,,,,,m,M,,,
,,,,,,,l,L,,,
sizeShoes,enum,Unique,false,false,Größe,Size,34,34,,,
,,,,,,,42,42,,,
,,,,,,,47,47,,,
materialComposition,ltext,None,false,false,Zusammensetzung Material,material composition,,,,,MultiLine
